protein_accession	db_source	name	stringid	sym	geneid	fam
Q16773	SWISS-PROT	Kynurenine--oxoglutarate transaminase I 	ENSP00000302227	KYAT1	883	Enzyme
Q16774	SWISS-PROT	Guanylate kinase	ENSP00000355689	GUK1	2987	Kinase
Q16775	SWISS-PROT	Glyoxalase II	ENSP00000380514	HAGH	3029	Enzyme
Q16790	SWISS-PROT	Carbonic anhydrase IX	ENSP00000367608	CA9	768	Enzyme
Q16798	SWISS-PROT	NADP-dependent malic enzyme, mitochondrial	ENSP00000352657	ME3	10873	None
Q16816	SWISS-PROT	Phosphorylase kinase gamma subunit 1	ENSP00000297373	PHKG1	5260	Kinase
Q16822	SWISS-PROT	Phosphoenolpyruvate carboxykinase mitochondrial	ENSP00000216780	PCK2	5106	Kinase
Q16825	SWISS-PROT	Protein-tyrosine phosphatase D1	ENSP00000330276	PTPN21	11099	Enzyme
Q16831	SWISS-PROT	Uridine phosphorylase 1	ENSP00000330032	UPP1	7378	Enzyme
Q16832	SWISS-PROT	Discoidin domain-containing receptor 2	ENSP00000356898	DDR2	4921	Kinase
Q16850	SWISS-PROT	Cytochrome P450 51	ENSP00000003100	CYP51A1	1595	Enzyme
Q16853	SWISS-PROT	Amine oxidase, copper containing	ENSP00000312326	AOC3	8639	Enzyme
Q16854	SWISS-PROT	Deoxyguanosine kinase, mitochondrial	ENSP00000264093	DGUOK	1716	Kinase
Q16881	SWISS-PROT	Thioredoxin reductase 1	ENSP00000434516	TXNRD1	7296	Enzyme
Q2M2I8	SWISS-PROT	Adaptor-associated kinase	ENSP00000386456	AAK1	22848	Kinase
Q32MK0	SWISS-PROT	Myosin light chain kinase	ENSP00000378288	MYLK3	91807	Kinase
Q3ZCM7	SWISS-PROT	Tubulin beta-8 chain	ENSP00000328808	TUBB8	347688	None
Q4KWH8	SWISS-PROT	KIAA1069	ENSP00000345988	PLCH1	23007	Enzyme
Q52WX2	SWISS-PROT	NA	ENSP00000343248	SBK1	388228	Kinase
Q53GQ0	SWISS-PROT	Estradiol 17-beta-dehydrogenase 12	ENSP00000278353	HSD17B12	51144	Enzyme
Q56UN5	SWISS-PROT	SPS1/STE20-related protein kinase YSK4	ENSP00000365005	MAP3K19	80122	Kinase
Q59H18	SWISS-PROT	Serine/threonine-protein kinase TNNI3K	ENSP00000359928	TNNI3K	51086	Kinase
Q5MY95	SWISS-PROT	Ectonucleoside triphosphate diphosphohydrolase 8	ENSP00000360561	ENTPD8	377841	Enzyme
Q5NUL3	SWISS-PROT	G-protein coupled receptor 120	ENSP00000360538	FFAR4	338557	GPCR
Q5R387	SWISS-PROT	Phospholipase A2 group IIC	ENSP00000247992	PLA2G2C	391013	Enzyme
Q5S007	SWISS-PROT	Leucine-rich repeat serine/threonine-protein kinase 2	ENSP00000298910	LRRK2	120892	Kinase
Q5TCQ9	SWISS-PROT	Membrane-associated guanylate kinase-related 3	ENSP00000304604	MAGI3	260425	Enzyme
Q5VT25	SWISS-PROT	Serine/threonine-protein kinase MRCK-A	ENSP00000355731	CDC42BPA	8476	Kinase
Q68D91	SWISS-PROT	Metallo-beta-lactamase superfamily protein	ENSP00000450811	MBLAC2	153364	Enzyme
Q6B0I6	SWISS-PROT	Lysine-specific demethylase 4D	ENSP00000334181	KDM4D	55693	Epigenetic
Q6DT37	SWISS-PROT	Serine/threonine-protein kinase MRCK gamma	ENSP00000345133	CDC42BPG	55561	Kinase
Q6P179	SWISS-PROT	Endoplasmic reticulum aminopeptidase 2	ENSP00000400376	ERAP2	64167	Enzyme
Q6P1M0	SWISS-PROT	Fatty acid transport protein 4	ENSP00000300456	SLC27A4	10999	Transporter
Q6P3R8	SWISS-PROT	Serine/threonine-protein kinase Nek5	ENSP00000347767	NEK5	341676	Kinase
Q6P4F1	SWISS-PROT	Fucosyltransferase 10	ENSP00000332757	FUT10	84750	Enzyme
Q6PFW1	SWISS-PROT	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	ENSP00000380129	PPIP5K1	9677	Enzyme
Q6PHR2	SWISS-PROT	Serine/threonine-protein kinase ULK3	ENSP00000400312	ULK3	25989	Kinase
Q6PIU2	SWISS-PROT	Neutral cholesterol ester hydrolase 1	ENSP00000442464	NCEH1	57552	Enzyme
Q6QHF9	SWISS-PROT	Polyamine oxidase	ENSP00000278060	PAOX	196743	Enzyme
Q6UW60	SWISS-PROT	Subtilisin/kexin type 4	ENSP00000300954	PCSK4	54760	Enzyme
Q6UWR7	SWISS-PROT	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	ENSP00000296741	ENPP6	133121	Enzyme
Q6UWV6	SWISS-PROT	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	ENSP00000332656	ENPP7	339221	Enzyme
Q6V1X1	SWISS-PROT	Dipeptidyl peptidase VIII	ENSP00000339208	DPP8	54878	Enzyme
Q6W5P4	SWISS-PROT	Neuropeptide S receptor	ENSP00000352839	NPSR1	387129	GPCR
Q6ZN16	SWISS-PROT	NA	ENSP00000345629	MAP3K15	389840	Kinase
Q70Z44	SWISS-PROT	Serotonin 3d (5-HT3d) receptor	ENSP00000371929	HTR3D	200909	IC
Q71U36	SWISS-PROT	Tubulin alpha-3 chain 	ENSP00000301071	TUBA1A	7846	None
Q7KZI7	SWISS-PROT	MAP/microtubule affinity-regulating kinase 2	ENSP00000385751	MARK2	2011	Kinase
Q7L0J3	SWISS-PROT	Synaptic vesicle glycoprotein 2A	ENSP00000358142	SV2A	9900	None
Q7L1I2	SWISS-PROT	Synaptic vesicle glycoprotein 2B	ENSP00000332818	SV2B	9899	None
Q7L7X3	SWISS-PROT	Serine/threonine-protein kinase TAO1	ENSP00000261716	TAOK1	57551	Kinase
Q7LG56	SWISS-PROT	Ribonucleotide reductase	ENSP00000251810	RRM2B	50484	Enzyme
Q7RTV2	SWISS-PROT	Glutathione S-transferase A5	ENSP00000284562	GSTA5	221357	Enzyme
Q7Z2K8	SWISS-PROT	G protein-regulated inducer of neurite outgrowth 1	ENSP00000305839	GPRIN1	114787	None
Q7Z2W7	SWISS-PROT	Transient receptor potential cation channel subfamily M member 8	ENSP00000323926	TRPM8	79054	IC
Q7Z3S7	SWISS-PROT	Voltage-gated calcium channel alpha2/delta-4 subunit	ENSP00000372169	CACNA2D4	93589	IC
Q7Z429	SWISS-PROT	Glutamate [NMDA] receptor associated protein 1	ENSP00000314380	GRINA	2907	None
Q7Z4H4	SWISS-PROT	ADM2	ENSP00000379086	ADM2	79924	None
Q7Z4W1	SWISS-PROT	L-xylulose reductase	ENSP00000303356	DCXR	51181	Enzyme
Q86TI2	SWISS-PROT	Dipeptidyl peptidase IX	ENSP00000262960	DPP9	91039	Enzyme
Q86UE8	SWISS-PROT	Serine/threonine-protein kinase tousled-like 2	ENSP00000275780	TLK2	11011	Kinase
Q86UX6	SWISS-PROT	Serine/threonine-protein kinase 32C	ENSP00000298630	STK32C	282974	Kinase
Q86V86	SWISS-PROT	Serine/threonine-protein kinase PIM3	ENSP00000353824	PIM3	415116	Kinase
Q86VQ6	SWISS-PROT	Thioredoxin reductase 3	ENSP00000430031	TXNRD3	114112	Enzyme
Q86WU2	SWISS-PROT	D-lactate dehydrogenase	ENSP00000300051	LDHD	197257	Enzyme
Q86X55	SWISS-PROT	Histone-arginine methyltransferase CARM1	ENSP00000325690	CARM1	10498	Epigenetic
Q86XE5	SWISS-PROT	Dihydrodipicolinate synthase-like, mitochondrial	ENSP00000359683	HOGA1	112817	Enzyme
Q86XP0	SWISS-PROT	Phospholipase A2 group 1VD	ENSP00000290472	PLA2G4D	283748	Enzyme
Q86Y39	SWISS-PROT	NADH-ubiquinone oxidoreductase subunit B14.7	ENSP00000389160	NDUFA11	126328	Enzyme
Q86YV6	SWISS-PROT	Myosin light chain kinase family member 4	ENSP00000274643	MYLK4	340156	Kinase
Q86Z02	SWISS-PROT	Homeodomain-interacting protein kinase 1	ENSP00000358571	HIPK1	204851	Kinase
Q8IU85	SWISS-PROT	CaM kinase I delta	ENSP00000368124	CAMK1D	57118	Kinase
Q8IV08	SWISS-PROT	Phospholipase D3	ENSP00000348901	PLD3	23646	Enzyme
Q8IV61	SWISS-PROT	RAS guanyl releasing protein 3	ENSP00000384192	RASGRP3	25780	None
Q8IVH8	SWISS-PROT	Mitogen-activated protein kinase kinase kinase kinase 3	ENSP00000263881	MAP4K3	8491	Kinase
Q8IVW4	SWISS-PROT	NA	ENSP00000265334	CDKL3	51265	Kinase
Q8IW41	SWISS-PROT	MAP kinase-activated protein kinase 5	ENSP00000202788	MAPKAPK5	8550	Kinase
Q8IWQ3	SWISS-PROT	BR serine/threonine-protein kinase 2	ENSP00000310697	BRSK2	9024	Kinase
Q8IWT1	SWISS-PROT	Sodium channel beta-4 subunit	ENSP00000322460	SCN4B	6330	IC
Q8IWU9	SWISS-PROT	Tryptophan 5-hydroxylase 2	ENSP00000329093	TPH2	121278	Enzyme
Q8IWW8	SWISS-PROT	Alcohol dehydrogenase, iron containing 1	ENSP00000379865	ADHFE1	137872	Enzyme
Q8IXJ6	SWISS-PROT	NAD-dependent deacetylase sirtuin 2	ENSP00000249396	SIRT2	22933	Epigenetic
Q8IY84	SWISS-PROT	Serine/threonine-protein kinase NIM1	ENSP00000313572	NIM1K	167359	Kinase
Q8IYB8	SWISS-PROT	Suv3 helicase	ENSP00000352678	SUPV3L1	6832	Enzyme
Q8IYT8	SWISS-PROT	Serine/threonine-protein kinase ULK2	ENSP00000354877	ULK2	9706	Kinase
Q8IZS8	SWISS-PROT	Voltage-gated calcium channel alpha2/delta subunit 3	ENSP00000419101	CACNA2D3	55799	IC
Q8N1C3	SWISS-PROT	GABA receptor gamma-1 subunit	ENSP00000295452	GABRG1	2565	IC
Q8N1Q1	SWISS-PROT	Carbonic anhydrase XIII	ENSP00000318912	CA13	377677	Enzyme
Q8N2K0	SWISS-PROT	Monoacylglycerol lipase ABHD12	ENSP00000365725	ABHD12	26090	Enzyme
Q8N3E9	SWISS-PROT	Phospholipase C delta 3	ENSP00000313731	PLCD3	113026	Enzyme
Q8N474	SWISS-PROT	Secreted frizzled-related protein 1	ENSP00000220772	SFRP1	6422	None
Q8N4C8	SWISS-PROT	Misshapen-like kinase 1	ENSP00000347427	MINK1	50488	Kinase
Q8N4T0	SWISS-PROT	Carboxypeptidase A6	ENSP00000297770	CPA6	57094	Enzyme
Q8N568	SWISS-PROT	Serine/threonine-protein kinase DCLK2	ENSP00000303887	DCLK2	166614	Kinase
Q8N5S9	SWISS-PROT	CaM-kinase kinase alpha	ENSP00000158166	CAMKK1	84254	Kinase
Q8N752	SWISS-PROT	Casein kinase I isoform alpha-like	ENSP00000369126	CSNK1A1L	122011	Kinase
Q8NBP7	SWISS-PROT	Subtilisin/kexin type 9	ENSP00000303208	PCSK9	255738	Enzyme
Q8NCC3	SWISS-PROT	Lysosomal phospholipase A2	ENSP00000219345	PLA2G15	23659	Enzyme
Q8NCG5	SWISS-PROT	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4 	ENSP00000341206	CHST4	10164	Enzyme
Q8NCG7	SWISS-PROT	Sn1-specific diacylglycerol lipase beta	ENSP00000297056	DAGLB	221955	Enzyme
Q8NE63	SWISS-PROT	Homeodomain-interacting protein kinase 4	ENSP00000291823	HIPK4	147746	Kinase
Q8NEB9	SWISS-PROT	Phosphatidylinositol 3-kinase catalytic subunit type 3	ENSP00000262039	PIK3C3	5289	Kinase
Q8NER1	SWISS-PROT	Vanilloid receptor	ENSP00000459962	TRPV1	7442	IC
Q8NER5	SWISS-PROT	Activin receptor type-1C	ENSP00000243349	ACVR1C	130399	Kinase
Q8NET8	SWISS-PROT	Transient receptor potential cation channel subfamily V member 3	ENSP00000461518	TRPV3	162514	IC
Q8NEV4	SWISS-PROT	Myosin IIIA	ENSP00000265944	MYO3A	53904	Kinase
Q8NFD2	SWISS-PROT	Ankyrin repeat and protein kinase domain-containing protein 1	ENSP00000306678	ANKK1	255239	Kinase
Q8NFI3	SWISS-PROT	Endo-beta-N-acetylglucosaminidase 	ENSP00000462333	ENGASE	64772	Enzyme
Q8NFJ6	SWISS-PROT	Prokineticin receptor 2	ENSP00000217270	PROKR2	128674	GPCR
Q8NFM4	SWISS-PROT	Adenylate cyclase type IV	ENSP00000312126	ADCY4	196883	Enzyme
Q8NG66	SWISS-PROT	Serine/threonine-protein kinase Nek11	ENSP00000372857	NEK11	79858	Kinase
Q8NG68	SWISS-PROT	Tubulin--tyrosine ligase	ENSP00000233336	TTL	150465	Enzyme
Q8NI60	SWISS-PROT	Chaperone activity of bc1 complex-like, mitochondrial	ENSP00000355739	COQ8A	56997	Kinase
Q8TCG2	SWISS-PROT	PI4-kinase type II beta	ENSP00000264864	PI4K2B	55300	Enzyme
Q8TCT1	SWISS-PROT	Phosphoethanolamine/phosphocholine phosphatase	ENSP00000406909	PHOSPHO1	162466	Enzyme
Q8TCU5	SWISS-PROT	Glutamate [NMDA] receptor subunit 3A	ENSP00000355155	GRIN3A	116443	IC
Q8TCW9	SWISS-PROT	Prokineticin receptor 1	ENSP00000303775	PROKR1	10887	GPCR
Q8TD08	SWISS-PROT	Mitogen-activated protein kinase 15	ENSP00000337691	MAPK15	225689	Kinase
Q8TD19	SWISS-PROT	Serine/threonine-protein kinase NEK9	ENSP00000238616	NEK9	91754	Kinase
Q8TDC3	SWISS-PROT	BR serine/threonine-protein kinase 1	ENSP00000310649	BRSK1	84446	Kinase
Q8TDR2	SWISS-PROT	Serine/threonine-protein kinase 35	ENSP00000370891	STK35	140901	Kinase
Q8TDS4	SWISS-PROT	Nicotinic acid receptor 1	ENSP00000375066	HCAR2	338442	GPCR
Q8TDU6	SWISS-PROT	G-protein coupled bile acid receptor 1	ENSP00000428824	GPBAR1	151306	GPCR
Q8TDV5	SWISS-PROT	Glucose-dependent insulinotropic receptor	ENSP00000276218	GPR119	139760	GPCR
Q8TDX7	SWISS-PROT	Serine/threonine-protein kinase NEK7	ENSP00000356355	NEK7	140609	Kinase
Q8TET4	SWISS-PROT	Neutral alpha-glucosidase C 	ENSP00000326227	GANC	2595	Enzyme
Q8TF76	SWISS-PROT	Serine/threonine-protein kinase haspin	ENSP00000325290	GSG2	83903	Kinase
Q8WTQ7	SWISS-PROT	G protein-coupled receptor kinase 7	ENSP00000264952	GRK7	131890	Kinase
Q8WTS6	SWISS-PROT	Histone-lysine N-methyltransferase SETD7	ENSP00000274031	SETD7	80854	Epigenetic
Q8WU08	SWISS-PROT	Serine/threonine-protein kinase 32A	ENSP00000381030	STK32A	202374	Kinase
Q8WUI4	SWISS-PROT	Histone deacetylase 7	ENSP00000080059	HDAC7	51564	Epigenetic
Q8WW43	SWISS-PROT	Gamma-secretase subunit APH-1B	ENSP00000261879	APH1B	83464	Enzyme
Q8WWL7	SWISS-PROT	G2/mitotic-specific cyclin B3	ENSP00000276014	CCNB3	85417	None
Q8WWR8	SWISS-PROT	Sialidase 4	ENSP00000320318	NEU4	129807	Enzyme
Q8WXA8	SWISS-PROT	Serotonin 3c (5-HT3c) receptor	ENSP00000322617	HTR3C	170572	IC
Q8WXQ8	SWISS-PROT	Carboxypeptidase A5	ENSP00000347549	CPA5	93979	Enzyme
Q8WXR4	SWISS-PROT	Myosin-IIIB	ENSP00000386213	MYO3B	140469	Kinase
Q92542	SWISS-PROT	Nicastrin 	ENSP00000294785	NCSTN	23385	None
Q92630	SWISS-PROT	Dual-specificity tyrosine-phosphorylation regulated kinase 2	ENSP00000342105	DYRK2	8445	Kinase
Q92633	SWISS-PROT	Lysophosphatidic acid receptor Edg-2	ENSP00000351755	LPAR1	1902	GPCR
Q92667	SWISS-PROT	Protein kinase A anchoring protein 1	ENSP00000337736	AKAP1	8165	Epigenetic
Q92696	SWISS-PROT	Geranylgeranyl transferase type II alpha subunit	ENSP00000216840	RABGGTA	5875	Enzyme
Q92731	SWISS-PROT	Estrogen receptor beta	ENSP00000343925	ESR2	2100	NR
Q92736	SWISS-PROT	Ryanodine receptor 2	ENSP00000355533	RYR2	6262	IC
Q92769	SWISS-PROT	Histone deacetylase 2	ENSP00000430432	HDAC2	3066	Epigenetic
Q92772	SWISS-PROT	Cyclin-dependent kinase-like 2	ENSP00000412365	CDKL2	8999	Kinase
Q92793	SWISS-PROT	CREB-binding protein	ENSP00000262367	CREBBP	1387	Epigenetic
Q92813	SWISS-PROT	Type II iodothyronine deiodinase	ENSP00000450980	DIO2	1734	Enzyme
Q92820	SWISS-PROT	Gamma-glutamyl hydrolase	ENSP00000260118	GGH	8836	Enzyme
Q92824	SWISS-PROT	Subtilisin/kexin type 5	ENSP00000446280	PCSK5	5125	Enzyme
Q92830	SWISS-PROT	Histone acetyltransferase GCN5	ENSP00000225916	KAT2A	2648	Epigenetic
Q92831	SWISS-PROT	Histone acetyltransferase PCAF	ENSP00000263754	KAT2B	8850	Epigenetic
Q92843	SWISS-PROT	Apoptosis regulator Bcl-W	ENSP00000250405	BCL2L2	599	None
Q92847	SWISS-PROT	Ghrelin receptor	ENSP00000241256	GHSR	2693	GPCR
Q92851	SWISS-PROT	Caspase-10	ENSP00000286186	CASP10	843	Enzyme
Q92876	SWISS-PROT	Kallikrein 6	ENSP00000309148	KLK6	5653	Enzyme
Q92887	SWISS-PROT	Canalicular multispecific organic anion transporter 1	ENSP00000359478	ABCC2	1244	Transporter
Q92918	SWISS-PROT	Mitogen-activated protein kinase kinase kinase kinase 1	ENSP00000380066	MAP4K1	11184	Kinase
Q92934	SWISS-PROT	Bcl2-antagonist of cell death (BAD)	ENSP00000309103	BAD	572	None
Q92952	SWISS-PROT	Small conductance calcium-activated potassium channel protein 1	None	KCNN1	3780	IC
Q92993	SWISS-PROT	Histone acetyltransferase KAT5	ENSP00000340330	KAT5	10524	Epigenetic
Q92997	SWISS-PROT	Segment polarity protein dishevelled homolog DVL-3	ENSP00000316054	DVL3	1857	None
Q93084	SWISS-PROT	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3	ENSP00000353072	ATP2A3	489	Transporter
Q93086	SWISS-PROT	P2X purinoceptor 5	ENSP00000225328	P2RX5	5026	IC
Q93088	SWISS-PROT	Betaine--homocysteine S-methyltransferase 1	ENSP00000274353	BHMT	635	Enzyme
Q93096	SWISS-PROT	Protein tyrosine phosphatase type IVA 1	ENSP00000359685	PTP4A1	7803	Enzyme
Q93100	SWISS-PROT	Phosphorylase kinase beta subunit	ENSP00000313504	PHKB	5257	Enzyme
Q969F8	SWISS-PROT	Metastin receptor	ENSP00000234371	KISS1R	84634	GPCR
Q969S8	SWISS-PROT	Histone deacetylase 10	ENSP00000216271	HDAC10	83933	Epigenetic
Q969U7	SWISS-PROT	Proteasome assembly chaperone 2	ENSP00000325919	PSMG2	56984	None
Q969V1	SWISS-PROT	Melanin-concentrating hormone receptor 2	ENSP00000281806	MCHR2	84539	GPCR
Q96BI3	SWISS-PROT	Gamma-secretase subunit APH-1A	ENSP00000358105	APH1A	51107	Enzyme
Q96BR1	SWISS-PROT	Serine/threonine-protein kinase Sgk3	ENSP00000262211	SGK3	23678	Kinase
Q96CA5	SWISS-PROT	Baculoviral IAP repeat-containing protein 7	ENSP00000217169	BIRC7	79444	None
Q96D53	SWISS-PROT	Uncharacterized aarF domain-containing protein kinase 4	ENSP00000315118	COQ8B	79934	Kinase
Q96DB2	SWISS-PROT	Histone deacetylase 11	ENSP00000295757	HDAC11	79885	Epigenetic
Q96EB6	SWISS-PROT	NAD-dependent deacetylase sirtuin 1	ENSP00000212015	SIRT1	23411	Epigenetic
Q96G91	SWISS-PROT	Purinergic receptor P2Y11	ENSP00000450710	P2RY11	5032	GPCR
Q96GD4	SWISS-PROT	Serine/threonine-protein kinase Aurora-B	ENSP00000463999	AURKB	9212	Kinase
Q96HH9	SWISS-PROT	HCV NS3-transactivated protein 3	ENSP00000426120	GRAMD3	65983	None
Q96IY4	SWISS-PROT	Carboxypeptidase B2 isoform A	ENSP00000181383	CPB2	1361	Enzyme
Q96KB5	SWISS-PROT	PDZ-binding kinase	ENSP00000301905	PBK	55872	Kinase
Q96KQ7	SWISS-PROT	Histone-lysine N-methyltransferase, H3 lysine-9 specific 3	ENSP00000364687	EHMT2	10919	Epigenetic
Q96KS0	SWISS-PROT	Hypoxia-inducible factor prolyl hydroxylase 1	ENSP00000469533	EGLN2	112398	None
Q96L34	SWISS-PROT	MAP/microtubule affinity-regulating kinase 4	ENSP00000262891	MARK4	57787	Kinase
Q96LB1	SWISS-PROT	Mas-related G-protein coupled receptor member X2	ENSP00000333800	MRGPRX2	117194	GPCR
Q96LB2	SWISS-PROT	Mas-related G-protein coupled receptor member X1	ENSP00000305766	MRGPRX1	259249	GPCR
Q96LZ3	SWISS-PROT	Calcineurin B beta	ENSP00000363939	PPP3R2	5535	None
Q96M32	SWISS-PROT	Adenylate kinase 7	ENSP00000267584	AK7	122481	Enzyme
Q96NX5	SWISS-PROT	CaM kinase I gamma	ENSP00000009105	CAMK1G	57172	Kinase
Q96P09	SWISS-PROT	Baculoviral IAP repeat-containing protein 8	ENSP00000412957	BIRC8	112401	None
Q96P65	SWISS-PROT	Pyroglutamylated RFamide peptide receptor	ENSP00000377948	QRFPR	84109	GPCR
Q96PD7	SWISS-PROT	Diacylglycerol O-acyltransferase 2	ENSP00000228027	DGAT2	84649	Enzyme
Q96PF2	SWISS-PROT	Testis-specific serine/threonine-protein kinase 2	ENSP00000382544	TSSK2	23617	Kinase
Q96PN6	SWISS-PROT	Adenylate cyclase type 10	ENSP00000356825	ADCY10	55811	Enzyme
Q96PY6	SWISS-PROT	Serine/threonine-protein kinase Nek1	ENSP00000424757	NEK1	4750	Kinase
Q96Q40	SWISS-PROT	Serine/threonine-protein kinase PFTAIRE-2	ENSP00000260967	CDK15	65061	Kinase
Q96QU1	SWISS-PROT	Protocadherin-15	ENSP00000354950	PCDH15	65217	None
Q96R05	SWISS-PROT	Cellular retinol-binding protein IV	ENSP00000294435	RBP7	116362	None
Q96RG2	SWISS-PROT	PAS domain-containing serine/threonine-protein kinase	ENSP00000234040	PASK	23178	Kinase
Q96RI0	SWISS-PROT	Proteinase activated receptor 4	ENSP00000248076	F2RL3	9002	GPCR
Q96RI1	SWISS-PROT	Bile acid receptor FXR	ENSP00000447149	NR1H4	9971	NR
Q96RJ0	SWISS-PROT	Trace amine-associated receptor 1	ENSP00000275216	TAAR1	134864	GPCR
Q96RP8	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.7	ENSP00000221444	KCNA7	3743	IC
Q96RR4	SWISS-PROT	CaM-kinase kinase beta	ENSP00000312741	CAMKK2	10645	Kinase
Q96S37	SWISS-PROT	Solute carrier family 22 member 12	ENSP00000366797	SLC22A12	116085	Transporter
Q96SB4	SWISS-PROT	Serine/threonine-protein kinase SRPK1	ENSP00000362931	SRPK1	6732	Kinase
Q99062	SWISS-PROT	Granulocyte colony stimulating factor receptor	ENSP00000362195	CSF3R	1441	None
Q99250	SWISS-PROT	Sodium channel protein type II alpha subunit	ENSP00000283256	SCN2A	6326	IC
Q99259	SWISS-PROT	Glutamate decarboxylase 67 kDa isoform 	ENSP00000350928	GAD1	2571	Enzyme
Q99418	SWISS-PROT	Cytohesin-2	ENSP00000470383	CYTH2	9266	None
Q99460	SWISS-PROT	26S proteasome regulatory subunit S1	ENSP00000309474	PSMD1	5707	Enzyme
Q99487	SWISS-PROT	Phospholipase A2 Serine dependent	ENSP00000363400	PAFAH2	5051	Enzyme
Q99489	SWISS-PROT	D-aspartate oxidase	ENSP00000357920	DDO	8528	Enzyme
Q99500	SWISS-PROT	Sphingosine 1-phosphate receptor Edg-3 	ENSP00000350878	S1PR3	1903	GPCR
Q99519	SWISS-PROT	Sialidase 1	ENSP00000364782	NEU1	4758	Enzyme
Q99523	SWISS-PROT	Neurotensin receptor 3	ENSP00000256637	SORT1	6272	None
Q99527	SWISS-PROT	G-protein coupled estrogen receptor 1	ENSP00000297469	GPER1	2852	GPCR
Q99538	SWISS-PROT	Legumain	ENSP00000334052	LGMN	5641	Enzyme
Q99558	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 14	None	MAP3K14	9020	Kinase
Q99571	SWISS-PROT	P2X purinoceptor 4	ENSP00000336607	P2RX4	5025	IC
Q99572	SWISS-PROT	P2X purinoceptor 7	ENSP00000442349	P2RX7	5027	IC
Q99640	SWISS-PROT	Tyrosine- and threonine-specific cdc2-inhibitory kinase	ENSP00000262300	PKMYT1	9088	Kinase
Q99645	SWISS-PROT	Small chondroitin/dermatan sulfate proteoglycan	ENSP00000261172	EPYC	1833	None
Q99661	SWISS-PROT	Kinesin-like protein KIF2C	ENSP00000361298	KIF2C	11004	None
Q99677	SWISS-PROT	Lysophosphatidic acid receptor 4	ENSP00000362398	LPAR4	2846	GPCR
Q99683	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 5	ENSP00000351908	MAP3K5	4217	Kinase
Q99685	SWISS-PROT	Monoglyceride lipase	ENSP00000265052	MGLL	11343	Enzyme
Q99705	SWISS-PROT	Melanin-concentrating hormone receptor 1	ENSP00000249016	MCHR1	2847	GPCR
Q99714	SWISS-PROT	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	ENSP00000168216	HSD17B10	3028	Enzyme
Q99720	SWISS-PROT	Sigma opioid receptor	ENSP00000277010	SIGMAR1	10280	None
Q99755	SWISS-PROT	Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha	ENSP00000357883	PIP5K1A	8394	Kinase
Q99759	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 3	ENSP00000354927	MAP3K3	4215	Kinase
Q99788	SWISS-PROT	G-protein coupled receptor ChemR23	ENSP00000311733	CMKLR1	1240	GPCR
Q99808	SWISS-PROT	Equilibrative nucleoside transporter 1	ENSP00000360773	SLC29A1	2030	Transporter
Q99816	SWISS-PROT	Tumor susceptibility gene 101 protein	ENSP00000251968	TSG101	7251	None
Q99835	SWISS-PROT	Smoothened homolog	ENSP00000249373	SMO	6608	GPCR
Q99836	SWISS-PROT	Myeloid differentiation primary response protein MyD88	ENSP00000401399	MYD88	4615	None
Q99873	SWISS-PROT	Protein-arginine N-methyltransferase 1	ENSP00000406162	PRMT1	3276	Epigenetic
Q99895	SWISS-PROT	Chymotrypsin C	ENSP00000365116	CTRC	11330	Enzyme
Q99928	SWISS-PROT	GABA receptor gamma-3 subunit	ENSP00000331912	GABRG3	2567	IC
Q99943	SWISS-PROT	1-acylglycerol-3-phosphate O-acyltransferase alpha	ENSP00000337463	AGPAT1	10554	Enzyme
Q9BPW9	SWISS-PROT	Dehydrogenase/reductase SDR family member 9	ENSP00000316670	DHRS9	10170	Enzyme
Q9BQB6	SWISS-PROT	Vitamin k epoxide reductase complex subunit 1 isoform 1	ENSP00000378426	VKORC1	79001	Enzyme
Q9BQI3	SWISS-PROT	Eukaryotic translation initiation factor 2-alpha kinase 1	ENSP00000199389	EIF2AK1	27102	Kinase
Q9BRC7	SWISS-PROT	Phospholipase C delta 4	ENSP00000388631	PLCD4	84812	Enzyme
Q9BRS2	SWISS-PROT	Serine/threonine-protein kinase RIO1	ENSP00000369162	RIOK1	83732	Kinase
Q9BT73	SWISS-PROT	Proteasome assembly chaperone 3	ENSP00000252329	PSMG3	84262	None
Q9BTU6	SWISS-PROT	PI4-kinase type II	ENSP00000359665	PI4K2A	55361	Kinase
Q9BTY2	SWISS-PROT	Alpha-L-fucosidase 2	ENSP00000002165	FUCA2	2519	Enzyme
Q9BUB5	SWISS-PROT	MAP kinase-interacting serine/threonine-protein kinase MNK1	ENSP00000361014	MKNK1	8569	Kinase
Q9BVG8	SWISS-PROT	Kinesin-like protein KIFC3	ENSP00000368976	KIFC3	3801	None
Q9BVS4	SWISS-PROT	Serine/threonine-protein kinase RIO2	ENSP00000283109	RIOK2	55781	Kinase
