protein_accession,db_source,name
P67870,SWISS-PROT,"Casein kinase II beta "
P68106,SWISS-PROT,"FK506-binding protein 1B"
P68366,SWISS-PROT,"Tubulin alpha-1 chain"
P68371,SWISS-PROT,"Tubulin beta-2 chain"
P68400,SWISS-PROT,"Casein kinase II alpha"
P68402,SWISS-PROT,"Platelet-activating factor acetylhydrolase IB beta subunit"
P68871,SWISS-PROT,"Hemoglobin beta chain "
P69905,SWISS-PROT,"Hemoglobin alpha subunit"
P78325,SWISS-PROT,"Disintegrin and metalloproteinase domain-containing protein 8"
P78329,SWISS-PROT,"Cytochrome P450 4F2"
P78334,SWISS-PROT,"GABA receptor epsilon subunit"
P78352,SWISS-PROT,"Disks large homolog 4"
P78356,SWISS-PROT,"Phosphatidylinositol-5-phosphate 4-kinase type-2 beta"
P78362,SWISS-PROT,"Serine/threonine-protein kinase SRPK2"
P78368,SWISS-PROT,"Casein kinase I gamma 2"
P78396,SWISS-PROT,"Cyclin A1"
P78417,SWISS-PROT,"Glutathione transferase omega 1"
P78527,SWISS-PROT,"DNA-dependent protein kinase"
P78536,SWISS-PROT,"ADAM17"
P78545,SWISS-PROT,"ETS-related transcription factor Elf-3"
P79483,SWISS-PROT,"HLA class II histocompatibility antigen DRB3-1"
P80192,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 9"
P80365,SWISS-PROT,"11-beta-hydroxysteroid dehydrogenase 2"
P80370,SWISS-PROT,"Protein delta homolog 1"
P80404,SWISS-PROT,"Gamma-amino-N-butyrate transaminase"
P82980,SWISS-PROT,"Cellular retinol-binding protein III"
P83111,SWISS-PROT,"Serine beta-lactamase-like protein"
P84077,SWISS-PROT,"ADP-ribosylation factor 1"
P84085,SWISS-PROT,"ADP-ribosylation factor 5"
P98077,SWISS-PROT,"Src homology 2 domain containing transforming protein C2"
P98161,SWISS-PROT,"Polycystin-1"
P98170,SWISS-PROT,"Inhibitor of apoptosis protein 3"
P98174,SWISS-PROT,"Rho/Rac guanine nucleotide exchange factor"
Q00526,SWISS-PROT,"Cyclin-dependent kinase 3"
Q00532,SWISS-PROT,"Cyclin-dependent kinase-like 1"
Q00534,SWISS-PROT,"Cyclin-dependent kinase 6"
Q00535,SWISS-PROT,"Cyclin-dependent kinase 5"
Q00536,SWISS-PROT,"Serine/threonine-protein kinase PCTAIRE-1"
Q00537,SWISS-PROT,"Serine/threonine-protein kinase PCTAIRE-2"
Q00613,SWISS-PROT,"Heat shock factor protein 1"
Q00653,SWISS-PROT,"Nuclear factor NF-kappa-B p100/p49 subunits"
Q00688,SWISS-PROT,"FK506 binding protein 3"
Q00722,SWISS-PROT,"Phospholipase C-beta-2"
Q00796,SWISS-PROT,"Sorbitol dehydrogenase"
Q00975,SWISS-PROT,"Voltage-gated N-type calcium channel alpha-1B subunit"
Q00987,SWISS-PROT,"p53-binding protein Mdm-2"
Q01064,SWISS-PROT,"Phosphodiesterase 1B"
Q01094,SWISS-PROT,"Transcription factor E2F1"
Q01118,SWISS-PROT,"Sodium channel protein type VII alpha subunit"
Q01432,SWISS-PROT,"AMP deaminase 3"
Q01433,SWISS-PROT,"AMP deaminase 2"
Q01469,SWISS-PROT,"Fatty acid binding protein epidermal"
Q01650,SWISS-PROT,"L-type amino acid transporter 1"
Q01668,SWISS-PROT,"Voltage-gated L-type calcium channel alpha-1D subunit"
Q01718,SWISS-PROT,"Melanocortin receptor 2"
Q01726,SWISS-PROT,"Melanocortin receptor 1"
Q01813,SWISS-PROT,"Phosphofructokinase platelet type"
Q01959,SWISS-PROT,"Dopamine transporter"
Q01970,SWISS-PROT,"Phospholipase C-beta-3"
Q02083,SWISS-PROT,"N-acylsphingosine-amidohydrolase"
Q02108,SWISS-PROT,"Guanylate cyclase soluble alpha-3 chain"
Q02127,SWISS-PROT,"Dihydroorotate dehydrogenase"
Q02153,SWISS-PROT,"Guanylate cyclase soluble beta-1 chain"
Q02156,SWISS-PROT,"Protein kinase C epsilon"
Q02218,SWISS-PROT,"Alpha-ketoglutarate dehydrogenase"
Q02224,SWISS-PROT,"Centromere-associated protein E"
Q02241,SWISS-PROT,"Kinesin-like protein KIF23"
Q02318,SWISS-PROT,"Sterol 26-hydroxylase, mitochondrial"
Q02643,SWISS-PROT,"Growth hormone-releasing hormone receptor"
Q02750,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 1"
Q02763,SWISS-PROT,"Tyrosine-protein kinase TIE-2"
Q02779,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 10"
Q02790,SWISS-PROT,"FK506 binding protein 4"
Q02880,SWISS-PROT,"DNA topoisomerase II beta"
Q02928,SWISS-PROT,"Cytochrome P450 4A11"
Q03013,SWISS-PROT,"Glutathione S-transferase Mu 4 "
Q03181,SWISS-PROT,"Peroxisome proliferator-activated receptor delta"
Q03405,SWISS-PROT,"Urokinase plasminogen activator surface receptor"
Q03431,SWISS-PROT,"Parathyroid hormone receptor"
Q04206,SWISS-PROT,"Nuclear factor NF-kappa-B p65 subunit"
Q04609,SWISS-PROT,"Glutamate carboxypeptidase II"
Q04759,SWISS-PROT,"Protein kinase C theta"
Q04760,SWISS-PROT,"Glyoxalase I"
Q04771,SWISS-PROT,"Activin receptor type-1"
Q04828,SWISS-PROT,"Aldo-keto reductase family 1 member C1"
Q04844,SWISS-PROT,"Acetylcholine receptor protein epsilon chain "
Q04912,SWISS-PROT,"Macrophage-stimulating protein receptor"
Q05193,SWISS-PROT,"Dynamin-1 "
Q05209,SWISS-PROT,"Protein-tyrosine phosphatase G1"
Q05329,SWISS-PROT,"Glutamate decarboxylase 65 kDa isoform "
Q05397,SWISS-PROT,"Focal adhesion kinase 1"
Q05469,SWISS-PROT,"Hormone sensitive lipase"
Q05513,SWISS-PROT,"Protein kinase C zeta"
Q05586,SWISS-PROT,"Glutamate (NMDA) receptor subunit zeta 1"
Q05655,SWISS-PROT,"Protein kinase C delta"
Q05823,SWISS-PROT,"RNase L"
Q05901,SWISS-PROT,"Neuronal acetylcholine receptor protein beta-3 subunit"
Q05932,SWISS-PROT,"Folylpoly-gamma-glutamate synthetase"
Q05940,SWISS-PROT,"Synaptic vesicular amine transporter"
Q06124,SWISS-PROT,"Protein-tyrosine phosphatase 2C"
Q06187,SWISS-PROT,"Tyrosine-protein kinase BTK"
Q06278,SWISS-PROT,"Aldehyde oxidase "
Q06418,SWISS-PROT,"Tyrosine-protein kinase receptor TYRO3"
Q06520,SWISS-PROT,"Alcohol sulfotransferase"
Q06830,SWISS-PROT,"Peroxiredoxin-1"
Q07001,SWISS-PROT,"Acetylcholine receptor protein delta chain "
Q07002,SWISS-PROT,"Serine/threonine-protein kinase PCTAIRE-3"
Q07075,SWISS-PROT,"Aminopeptidase A"
Q07343,SWISS-PROT,"Phosphodiesterase 4B"
Q07699,SWISS-PROT,"Sodium channel beta-1 subunit"
Q07812,SWISS-PROT,"Apoptosis regulator BAX"
Q07817,SWISS-PROT,"Apoptosis regulator Bcl-X"
Q07820,SWISS-PROT,"Induced myeloid leukemia cell differentiation protein Mcl-1"
Q07869,SWISS-PROT,"Peroxisome proliferator-activated receptor alpha"
Q07912,SWISS-PROT,"Tyrosine kinase non-receptor protein 2"
Q07973,SWISS-PROT,"Cytochrome P450 24A1"
Q08188,SWISS-PROT,"Protein-glutamine glutamyltransferase E"
Q08209,SWISS-PROT,"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform"
Q08257,SWISS-PROT,"Quinone oxidoreductase"
Q08345,SWISS-PROT,"Epithelial discoidin domain-containing receptor 1"
Q08462,SWISS-PROT,"Adenylate cyclase type II"
Q08493,SWISS-PROT,"Phosphodiesterase 4C"
Q08499,SWISS-PROT,"Phosphodiesterase 4D"
Q08828,SWISS-PROT,"Brain adenylate cyclase 1"
Q08881,SWISS-PROT,"Tyrosine-protein kinase ITK/TSK "
Q09013,SWISS-PROT,"Myotonin-protein kinase"
Q09428,SWISS-PROT,"Sulfonylurea receptor 1"
Q09470,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.1"
Q09472,SWISS-PROT,"Histone acetyltransferase p300"
Q11128,SWISS-PROT,"Fucosyltransferase 5"
Q12778,SWISS-PROT,"Forkhead box protein O1"
Q12791,SWISS-PROT,"Large conductance calcium-activated potassium channel subfamily M alpha member 1 isoform b"
Q12794,SWISS-PROT,"Hyaluronidase-1"
Q12809,SWISS-PROT,"HERG"
Q12840,SWISS-PROT,"Kinesin heavy chain isoform 5A"
Q12851,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase kinase 2"
Q12866,SWISS-PROT,"Proto-oncogene tyrosine-protein kinase MER"
Q12879,SWISS-PROT,"Glutamate [NMDA] receptor subunit epsilon 1"
Q12882,SWISS-PROT,"Dihydropyrimidine dehydrogenase"
Q12884,SWISS-PROT,"Fibroblast activation protein alpha"
Q12891,SWISS-PROT,"Hyaluronidase-2"
Q12908,SWISS-PROT,"Ileal bile acid transporter"
Q12913,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase eta "
Q12923,SWISS-PROT,"Protein-tyrosine phosphatase 1E"
Q12931,SWISS-PROT,"Heat shock protein 75 kDa, mitochondrial"
Q12974,SWISS-PROT,"Protein tyrosine phosphatase type IVA 2"
Q13002,SWISS-PROT,"Glutamate receptor ionotropic kainate 2"
Q13003,SWISS-PROT,"Glutamate receptor ionotropic kainate 3"
Q13043,SWISS-PROT,"Serine/threonine-protein kinase MST1"
Q13085,SWISS-PROT,"Acetyl-CoA carboxylase 1"
Q13093,SWISS-PROT,"LDL-associated phospholipase A2"
Q13126,SWISS-PROT,"S-methyl-5-thioadenosine phosphorylase"
Q13131,SWISS-PROT,"AMP-activated protein kinase, alpha-1 subunit"
Q13133,SWISS-PROT,"LXR-alpha"
Q13153,SWISS-PROT,"Serine/threonine-protein kinase PAK 1"
Q13163,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 5"
Q13164,SWISS-PROT,"Mitogen-activated protein kinase 7"
Q13177,SWISS-PROT,"Serine/threonine-protein kinase PAK 2"
Q13188,SWISS-PROT,"Serine/threonine-protein kinase MST2"
Q13224,SWISS-PROT,"Glutamate [NMDA] receptor subunit epsilon 2"
Q13231,SWISS-PROT,"Chitinase 1"
Q13232,SWISS-PROT,"Nucleoside diphosphate kinase 3"
Q13233,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 1"
Q13237,SWISS-PROT,"cGMP-dependent protein kinase 2"
Q13255,SWISS-PROT,"Metabotropic glutamate receptor 1"
Q13258,SWISS-PROT,"Prostanoid DP receptor"
Q13285,SWISS-PROT,"Steroidogenic factor 1"
Q13304,SWISS-PROT,"Uracil nucleotide/cysteinyl leukotriene receptor"
Q13310,SWISS-PROT,"Polyadenylate-binding protein 4"
Q13315,SWISS-PROT,"Serine-protein kinase ATM"
Q13324,SWISS-PROT,"Corticotropin releasing factor receptor 2"
Q13370,SWISS-PROT,"Phosphodiesterase 3B"
Q13393,SWISS-PROT,"Phospholipase D1"
Q13395,SWISS-PROT,"TAR RNA binding protein 1"
Q13404,SWISS-PROT,"Ubiquitin-conjugating enzyme E2 variant 1"
Q13418,SWISS-PROT,"Serine/threonine-protein kinase ILK-1"
Q13443,SWISS-PROT,"ADAM9"
Q13464,SWISS-PROT,"Rho-associated protein kinase 1 "
Q13469,SWISS-PROT,"Nuclear factor of activated T-cells cytoplasmic 2"
Q13470,SWISS-PROT,"Non-receptor tyrosine-protein kinase TNK1"
Q13477,SWISS-PROT,"Mucosal addressin cell adhesion molecule-1 "
Q13488,SWISS-PROT,"Vacuolar ATP synthase catalytic subunit A, osteoclast isoform (V-ATPase A subunit 2) (Vacuolar proton pump alpha subunit 2) (V-ATPase 69 kDa subunit 2) (Isoform HO68) "
Q13489,SWISS-PROT,"Baculoviral IAP repeat-containing protein 3"
Q13490,SWISS-PROT,"Baculoviral IAP repeat-containing protein 2"
Q13509,SWISS-PROT,"Tubulin beta-3 chain"
Q13510,SWISS-PROT,"Acid ceramidase"
Q13526,SWISS-PROT,"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1"
Q13535,SWISS-PROT,"Serine-protein kinase ATR"
Q13546,SWISS-PROT,"Receptor-interacting serine/threonine-protein kinase 1"
Q13547,SWISS-PROT,"Histone deacetylase 1"
Q13554,SWISS-PROT,"CaM kinase II beta"
Q13555,SWISS-PROT,"CaM kinase II gamma"
Q13557,SWISS-PROT,"CaM kinase II delta"
Q13563,SWISS-PROT,"Polycystin-2"
Q13621,SWISS-PROT,"Sodium-(potassium)-chloride cotransporter 2"
Q13627,SWISS-PROT,"Dual-specificity tyrosine-phosphorylation regulated kinase 1A"
Q13639,SWISS-PROT,"Serotonin 4 (5-HT4) receptor"
Q13698,SWISS-PROT,"Voltage-gated L-type calcium channel alpha-1S subunit"
Q13705,SWISS-PROT,"Activin receptor type-2B"
Q13724,SWISS-PROT,"Mannosyl-oligosaccharide glucosidase"
Q13733,SWISS-PROT,"Sodium/potassium-transporting ATPase alpha-4 chain"
Q13748,SWISS-PROT,"Tubulin alpha-2 chain"
Q13797,SWISS-PROT,"Integrin alpha-9"
Q13822,SWISS-PROT,"Autotaxin"
Q13873,SWISS-PROT,"Bone morphogenetic protein receptor type-2"
Q13882,SWISS-PROT,"Tyrosine-protein kinase BRK"
Q13936,SWISS-PROT,"Voltage-gated L-type calcium channel alpha-1C subunit"
Q13946,SWISS-PROT,"Phosphodiesterase 7A"
Q13956,SWISS-PROT,"Phosphodiesterase 6H"
Q13972,SWISS-PROT,"Ras-specific guanine nucleotide-releasing factor 1"
Q13976,SWISS-PROT,"cGMP-dependent protein kinase 1 beta"
Q14012,SWISS-PROT,"CaM kinase I alpha"
Q14117,SWISS-PROT,"Dihydropyrimidinase"
Q14123,SWISS-PROT,"Phosphodiesterase 1C"
Q14164,SWISS-PROT,"Inhibitor of nuclear factor kappa B kinase epsilon subunit"
Q14242,SWISS-PROT,"P-selectin glycoprotein ligand 1"
Q14289,SWISS-PROT,"Protein tyrosine kinase 2 beta"
Q14376,SWISS-PROT,"UDP-glucose 4-epimerase"
Q14397,SWISS-PROT,"Glucokinase regulatory protein"
Q14416,SWISS-PROT,"Metabotropic glutamate receptor 2"
Q14432,SWISS-PROT,"Phosphodiesterase 3A"
Q14524,SWISS-PROT,"Sodium channel protein type V alpha subunit"
Q14534,SWISS-PROT,"Squalene monooxygenase"
Q14558,SWISS-PROT,"Phosphoribosyl pyrophosphate synthetase-associated protein 1"
Q14571,SWISS-PROT,"Inositol 1,4,5-trisphosphate receptor type 2"
Q14573,SWISS-PROT,"Inositol 1,4,5-trisphosphate receptor type 3"
Q14626,SWISS-PROT,"Interleukin 11 receptor alpha"
Q14642,SWISS-PROT,"Type I inositol-1,4,5-trisphosphate 5-phosphatase"
Q14643,SWISS-PROT,"Inositol 1,4,5-trisphosphate receptor type 1"
Q14654,SWISS-PROT,"Potassium channel, inwardly rectifying, subfamily J, member 11"
Q14680,SWISS-PROT,"Maternal embryonic leucine zipper kinase"
Q14697,SWISS-PROT,"Neutral alpha-glucosidase AB"
Q14703,SWISS-PROT,"Membrane-bound transcription factor site-1 protease"
Q14722,SWISS-PROT,"Voltage-gated potassium channel subunit beta-1"
Q14761,SWISS-PROT,"Protein tyrosine phosphatase receptor type C-associated protein"
Q14790,SWISS-PROT,"Caspase-8"
Q14807,SWISS-PROT,"Kinesin-like protein KIF22"
Q14831,SWISS-PROT,"Metabotropic glutamate receptor 7"
Q14832,SWISS-PROT,"Metabotropic glutamate receptor 3"
Q14833,SWISS-PROT,"Metabotropic glutamate receptor 4"
Q14940,SWISS-PROT,"Sodium/hydrogen exchanger 5"
Q14957,SWISS-PROT,"Glutamate [NMDA] receptor subunit epsilon 3"
Q14973,SWISS-PROT,"Bile acid transporter"
Q14994,SWISS-PROT,"Nuclear receptor subfamily 1 group I member 3"
Q15004,SWISS-PROT,"PCNA-associated factor"
Q15046,SWISS-PROT,"Lysyl-tRNA synthetase"
Q15054,SWISS-PROT,"DNA polymerase delta subunit 3"
Q15058,SWISS-PROT,"Kinesin-like protein KIF14"
Q15077,SWISS-PROT,"Pyrimidinergic receptor P2Y6"
Q15078,SWISS-PROT,"Cyclin-dependent kinase 5 regulatory subunit 1"
Q15102,SWISS-PROT,"Platelet-activating factor acetylhydrolase IB gamma subunit"
Q15111,SWISS-PROT,"Phospholipase C-like 1"
Q15118,SWISS-PROT,"Pyruvate dehydrogenase kinase isoform 1"
Q15119,SWISS-PROT,"Pyruvate dehydrogenase kinase isoform 2"
Q15120,SWISS-PROT,"Pyruvate dehydrogenase kinase isoform 3"
Q15125,SWISS-PROT,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase"
Q15139,SWISS-PROT,"Protein kinase C mu"
Q15147,SWISS-PROT,"Phospholipase C-beta-4"
Q15172,SWISS-PROT,"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform"
Q15208,SWISS-PROT,"Serine/threonine-protein kinase 38"
Q15257,SWISS-PROT,"Protein phosphatase 2A regulatory subunit B'"
Q15303,SWISS-PROT,"Receptor protein-tyrosine kinase erbB-4"
Q15349,SWISS-PROT,"Ribosomal protein S6 kinase alpha 2"
Q15375,SWISS-PROT,"Ephrin type-A receptor 7"
Q15391,SWISS-PROT,"Purinergic receptor P2Y14"
Q15413,SWISS-PROT,"Ryanodine receptor 3"
Q15418,SWISS-PROT,"Ribosomal protein S6 kinase alpha 1"
Q15465,SWISS-PROT,"Sonic hedgehog protein"
Q15466,SWISS-PROT,"Nuclear receptor subfamily 0 group B member 2"
Q15569,SWISS-PROT,"Dual specificity testis-specific protein kinase 1"
Q15633,SWISS-PROT,"TAR RNA binding protein 2"
Q15653,SWISS-PROT,"NF-kappaB inhibitor beta"
Q15661,SWISS-PROT,"Tryptase beta-1"
Q15722,SWISS-PROT,"Leukotriene B4 receptor 1"
Q15746,SWISS-PROT,"Myosin light chain kinase, smooth muscle"
Q15750,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 7-interacting protein 1"
Q15759,SWISS-PROT,"MAP kinase p38 beta"
Q15761,SWISS-PROT,"Neuropeptide Y receptor type 5"
Q15819,SWISS-PROT,"Ubiquitin-conjugating enzyme E2 variant 2"
Q15822,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-2 subunit"
Q15825,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-6 subunit"
Q15831,SWISS-PROT,"Serine/threonine-protein kinase 11"
Q15835,SWISS-PROT,"Rhodopsin kinase"
Q15842,SWISS-PROT,"Potassium channel, inwardly rectifying, subfamily J, member 8"
Q15858,SWISS-PROT,"Sodium channel protein type IX alpha subunit"
Q15904,SWISS-PROT,"Vacuolar ATP synthase subunit S1 precursor"
Q16099,SWISS-PROT,"Glutamate receptor ionotropic kainate 4"
Q16236,SWISS-PROT,"Nuclear factor erythroid 2-related factor 2"
Q16288,SWISS-PROT,"NT-3 growth factor receptor"
Q16445,SWISS-PROT,"GABA receptor alpha-6 subunit"
Q16478,SWISS-PROT,"Glutamate receptor ionotropic kainate 5"
Q16512,SWISS-PROT,"Protein kinase N1"
Q16513,SWISS-PROT,"Protein kinase N2"
Q16539,SWISS-PROT,"MAP kinase p38 alpha"
Q16548,SWISS-PROT,"Bcl-2-related protein A1"
Q16549,SWISS-PROT,"Subtilisin/kexin type 7"
Q16558,SWISS-PROT,"Large conductance calcium-activated potassium channel subfamily M beta member 1"
Q16566,SWISS-PROT,"CaM kinase IV"
Q16572,SWISS-PROT,"Vesicular acetylcholine transporter"
Q16581,SWISS-PROT,"C3a anaphylatoxin chemotactic receptor"
Q16584,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 11"
Q16602,SWISS-PROT,"Calcitonin gene-related peptide type 1 receptor"
Q16611,SWISS-PROT,"Bcl-2 homologous antagonist/killer"
Q16620,SWISS-PROT,"Neurotrophic tyrosine kinase receptor type 2"
Q16644,SWISS-PROT,"MAP kinase-activated protein kinase 3"
Q16647,SWISS-PROT,"Prostaglandin I2 synthase"
Q16651,SWISS-PROT,"Prostasin"
Q16654,SWISS-PROT,"Pyruvate dehydrogenase kinase isoform 4"
Q16659,SWISS-PROT,"Mitogen-activated protein kinase 6"
Q16665,SWISS-PROT,"Hypoxia-inducible factor 1 alpha"
Q16678,SWISS-PROT,"Cytochrome P450 1B1"
Q16706,SWISS-PROT,"Alpha-mannosidase 2A1"
Q16719,SWISS-PROT,"Kynureninase"
Q16739,SWISS-PROT,"Ceramide glucosyltransferase"
Q16760,SWISS-PROT,"Diacylglycerol kinase delta"
Q16769,SWISS-PROT,"Glutaminyl-peptide cyclotransferase"
Q16772,SWISS-PROT,"Glutathione S-transferase A3"
Q16773,SWISS-PROT,"Kynurenine--oxoglutarate transaminase I "
Q16774,SWISS-PROT,"Guanylate kinase"
Q16775,SWISS-PROT,"Glyoxalase II"
Q16790,SWISS-PROT,"Carbonic anhydrase IX"
Q16798,SWISS-PROT,"NADP-dependent malic enzyme, mitochondrial"
Q16816,SWISS-PROT,"Phosphorylase kinase gamma subunit 1"
Q16822,SWISS-PROT,"Phosphoenolpyruvate carboxykinase mitochondrial"
Q16825,SWISS-PROT,"Protein-tyrosine phosphatase D1"
Q16831,SWISS-PROT,"Uridine phosphorylase 1"
Q16832,SWISS-PROT,"Discoidin domain-containing receptor 2"
Q16850,SWISS-PROT,"Cytochrome P450 51"
Q16853,SWISS-PROT,"Amine oxidase, copper containing"
Q16854,SWISS-PROT,"Deoxyguanosine kinase, mitochondrial"
Q16881,SWISS-PROT,"Thioredoxin reductase 1"
Q2M2I8,SWISS-PROT,"Adaptor-associated kinase"
Q32MK0,SWISS-PROT,"Myosin light chain kinase"
Q3ZCM7,SWISS-PROT,"Tubulin beta-8 chain"
Q4KWH8,SWISS-PROT,"KIAA1069"
Q52WX2,SWISS-PROT,
Q53GQ0,SWISS-PROT,"Estradiol 17-beta-dehydrogenase 12"
Q56UN5,SWISS-PROT,"SPS1/STE20-related protein kinase YSK4"
Q59H18,SWISS-PROT,"Serine/threonine-protein kinase TNNI3K"
Q5MY95,SWISS-PROT,"Ectonucleoside triphosphate diphosphohydrolase 8"
Q5NUL3,SWISS-PROT,"G-protein coupled receptor 120"
Q5R387,SWISS-PROT,"Phospholipase A2 group IIC"
Q5S007,SWISS-PROT,"Leucine-rich repeat serine/threonine-protein kinase 2"
Q5TCQ9,SWISS-PROT,"Membrane-associated guanylate kinase-related 3"
Q5VT25,SWISS-PROT,"Serine/threonine-protein kinase MRCK-A"
Q68D91,SWISS-PROT,"Metallo-beta-lactamase superfamily protein"
Q6B0I6,SWISS-PROT,"Lysine-specific demethylase 4D"
Q6DT37,SWISS-PROT,"Serine/threonine-protein kinase MRCK gamma"
Q6P179,SWISS-PROT,"Endoplasmic reticulum aminopeptidase 2"
Q6P1M0,SWISS-PROT,"Fatty acid transport protein 4"
Q6P3R8,SWISS-PROT,"Serine/threonine-protein kinase Nek5"
Q6P4F1,SWISS-PROT,"Fucosyltransferase 10"
Q6PFW1,SWISS-PROT,"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1"
Q6PHR2,SWISS-PROT,"Serine/threonine-protein kinase ULK3"
Q6PIU2,SWISS-PROT,"Neutral cholesterol ester hydrolase 1"
Q6QHF9,SWISS-PROT,"Polyamine oxidase"
Q6UW60,SWISS-PROT,"Subtilisin/kexin type 4"
Q6UWR7,SWISS-PROT,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 6"
Q6UWV6,SWISS-PROT,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 7"
Q6V1X1,SWISS-PROT,"Dipeptidyl peptidase VIII"
Q6W5P4,SWISS-PROT,"Neuropeptide S receptor"
Q6ZN16,SWISS-PROT,
Q70Z44,SWISS-PROT,"Serotonin 3d (5-HT3d) receptor"
Q71U36,SWISS-PROT,"Tubulin alpha-3 chain "
Q7KZI7,SWISS-PROT,"MAP/microtubule affinity-regulating kinase 2"
Q7L0J3,SWISS-PROT,"Synaptic vesicle glycoprotein 2A"
Q7L1I2,SWISS-PROT,"Synaptic vesicle glycoprotein 2B"
Q7L7X3,SWISS-PROT,"Serine/threonine-protein kinase TAO1"
Q7LG56,SWISS-PROT,"Ribonucleotide reductase"
Q7RTV2,SWISS-PROT,"Glutathione S-transferase A5"
Q7Z2K8,SWISS-PROT,"G protein-regulated inducer of neurite outgrowth 1"
Q7Z2W7,SWISS-PROT,"Transient receptor potential cation channel subfamily M member 8"
Q7Z3S7,SWISS-PROT,"Voltage-gated calcium channel alpha2/delta-4 subunit"
Q7Z429,SWISS-PROT,"Glutamate [NMDA] receptor associated protein 1"
Q7Z4H4,SWISS-PROT,"ADM2"
Q7Z4W1,SWISS-PROT,"L-xylulose reductase"
Q86TI2,SWISS-PROT,"Dipeptidyl peptidase IX"
Q86UE8,SWISS-PROT,"Serine/threonine-protein kinase tousled-like 2"
Q86UX6,SWISS-PROT,"Serine/threonine-protein kinase 32C"
Q86V86,SWISS-PROT,"Serine/threonine-protein kinase PIM3"
Q86VQ6,SWISS-PROT,"Thioredoxin reductase 3"
Q86WU2,SWISS-PROT,"D-lactate dehydrogenase"
Q86X55,SWISS-PROT,"Histone-arginine methyltransferase CARM1"
Q86XE5,SWISS-PROT,"Dihydrodipicolinate synthase-like, mitochondrial"
Q86XP0,SWISS-PROT,"Phospholipase A2 group 1VD"
Q86Y39,SWISS-PROT,"NADH-ubiquinone oxidoreductase subunit B14.7"
Q86YV6,SWISS-PROT,"Myosin light chain kinase family member 4"
Q86Z02,SWISS-PROT,"Homeodomain-interacting protein kinase 1"
Q8IU85,SWISS-PROT,"CaM kinase I delta"
Q8IV08,SWISS-PROT,"Phospholipase D3"
Q8IV61,SWISS-PROT,"RAS guanyl releasing protein 3"
Q8IVH8,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase kinase 3"
Q8IVW4,SWISS-PROT,
Q8IW41,SWISS-PROT,"MAP kinase-activated protein kinase 5"
Q8IWQ3,SWISS-PROT,"BR serine/threonine-protein kinase 2"
Q8IWT1,SWISS-PROT,"Sodium channel beta-4 subunit"
Q8IWU9,SWISS-PROT,"Tryptophan 5-hydroxylase 2"
Q8IWW8,SWISS-PROT,"Alcohol dehydrogenase, iron containing 1"
Q8IXJ6,SWISS-PROT,"NAD-dependent deacetylase sirtuin 2"
Q8IY84,SWISS-PROT,"Serine/threonine-protein kinase NIM1"
Q8IYB8,SWISS-PROT,"Suv3 helicase"
Q8IYT8,SWISS-PROT,"Serine/threonine-protein kinase ULK2"
Q8IZS8,SWISS-PROT,"Voltage-gated calcium channel alpha2/delta subunit 3"
Q8N1C3,SWISS-PROT,"GABA receptor gamma-1 subunit"
Q8N1Q1,SWISS-PROT,"Carbonic anhydrase XIII"
Q8N2K0,SWISS-PROT,"Monoacylglycerol lipase ABHD12"
Q8N3E9,SWISS-PROT,"Phospholipase C delta 3"
Q8N474,SWISS-PROT,"Secreted frizzled-related protein 1"
Q8N4C8,SWISS-PROT,"Misshapen-like kinase 1"
Q8N4T0,SWISS-PROT,"Carboxypeptidase A6"
Q8N568,SWISS-PROT,"Serine/threonine-protein kinase DCLK2"
Q8N5S9,SWISS-PROT,"CaM-kinase kinase alpha"
Q8N752,SWISS-PROT,"Casein kinase I isoform alpha-like"
Q8NBP7,SWISS-PROT,"Subtilisin/kexin type 9"
Q8NCC3,SWISS-PROT,"Lysosomal phospholipase A2"
Q8NCG5,SWISS-PROT,"Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4 "
Q8NCG7,SWISS-PROT,"Sn1-specific diacylglycerol lipase beta"
Q8NE63,SWISS-PROT,"Homeodomain-interacting protein kinase 4"
Q8NEB9,SWISS-PROT,"Phosphatidylinositol 3-kinase catalytic subunit type 3"
